"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42","Axis.43","Axis.44","Axis.45","Axis.46","Axis.47","Axis.48","Axis.49","Axis.50","Axis.51","Axis.52","Axis.53","Axis.54","Axis.55","Axis.56","Axis.57","number","code","day","period"
"Day003",-0.261306587315074,-0.0599149142129527,-0.296424549191312,0.105682086469289,0.0104531147062618,0.0930210564068797,0.0955927009331809,0.067335543835227,0.0132881225477735,-0.0512120241811579,0.0159372091563827,0.00385104401042474,0.0266025982621131,0.0247377177578676,0.000349499146212922,0.0128870762697128,0.00547208996882012,-0.00692542612720339,-0.0204017371180492,-0.00630402334629044,0.00367395931787379,-0.00144646516036571,0.00582313794228644,-0.00132361119535029,0.0048829917213757,0.00212773665685893,0.0011452909415193,-8.72498170731715e-05,0.00333992064609618,-0.00133870909648652,0.00161820143372825,-0.00128836393474768,0.00010820668591172,-0.00137973903978196,0.000753415924580646,-0.00536506546208762,-0.000314658312698255,-0.00500714428227784,-0.000144883837124107,-0.000651720972704574,-0.00221813887413645,0.002006559855275,0.000824609675765363,-0.00161373257563821,-0.00167370675363975,0.00107184824942689,-0.000370286238654681,-0.00098368050369985,0.000473013752178153,-0.000380295272907202,0.000366128383343684,4.65474165124678e-05,0.000908904619152166,-0.000893176075478083,0.000318769226460935,0.000759527710450114,-4.89447839989173e-07,3,"Day003",3,1
"Day004",-0.315795164786602,-0.101182051232258,-0.208465685499217,0.0413999941592783,0.0640486294198678,0.0471460755232016,0.0840010473395598,-0.0166490663618797,0.0321195690126597,-0.0248802285100381,0.0322115489473184,-0.0201159183614393,-0.0393344665467302,0.0108365169480432,-0.0017593997466069,0.00632079421234186,-0.0060739962922543,0.0136106720928121,0.000584246536088777,0.000362227489115059,0.00628189908018435,0.00528977610260734,-0.00682464975658336,-0.000246377811454862,-0.0021398001006529,0.00168597972536437,-0.00125262991795428,-0.00307252611716302,-0.00894971484085308,0.00429409530077488,-0.00733084658306505,0.00210411100627267,-0.00270926161553029,0.0026195018250484,-0.00126854588793166,0.00651268655252622,0.00235762844985673,-0.000544980296572506,0.00502393740449414,0.000209658988322468,0.000589117585849303,-0.00226057097334316,0.00113403989183088,0.000614943143851047,-0.000839142525137638,-0.000294395837837047,0.000264838215728788,0.00230255957158102,0.000257116315451035,-0.00112356111320755,-0.000830833330759981,0.000104741744320281,-0.000778976540250191,0.000114600376789611,-0.000435216376597324,-0.000869088962338413,-0.000208410403872967,4,"Day004",4,1
"Day005",-0.33877450879962,-0.151302880134459,-0.154805322020134,0.00251336404146403,0.0474901267029314,0.00199442105680816,0.0161310459060475,0.0124512897509033,0.0245570107198945,0.0521687882112412,0.0495763434817293,-0.0154402495293879,0.0246903358044857,0.00480110813339174,-0.0150867779052857,0.00695109669537809,0.00601348675060027,-0.0169358408113188,0.00549827529293391,-0.00776451046097011,-0.00881052812256469,-9.77775172916292e-05,-0.00312363796797264,0.00500993891199824,0.000288871885573218,-0.00359099967360679,0.00666761735577332,0.000277641016748347,0.00127432076108249,-0.00407689287328399,-0.00415471834531217,0.00153873417014604,-0.00269592117744002,0.00652020775319669,-0.00115321677006685,-0.000989794374823603,0.00104081869312317,-4.98827086136604e-05,-0.00394027874675034,0.00276127413487465,0.00576583725219739,0.00129078882826076,0.000919193837969402,0.00096991801579021,0.00405024748816303,-0.00240939170163643,0.00323557613370469,-0.0023455804211144,0.00170080053220332,0.00218252136194279,0.00107545087089924,-0.00106851044519527,-0.00130497457591225,0.00149195363944849,0.00192128722356735,0.000117538808936173,0.00013365651650694,5,"Day005",5,1
"Day006",-0.342946651427334,-0.184591513715955,-0.134021805475817,-0.0239994865970803,0.0041610618368335,-0.0059088159010331,-0.0421567574506198,0.0456425253741361,0.0256998502988548,0.0320706060530105,0.00739654675267114,-0.0156443478493661,-0.00544033673607383,-0.00513400079471246,0.0323018126403334,0.00983658296156271,0.00980508895696364,-0.00204552883164334,-0.000111285994445682,0.0154387594069011,-0.00578581818912169,0.00182308498846775,-0.00457254660207433,-0.00715066688960585,-0.00253440337567934,0.0166548450940582,0.00128027909800257,-0.00295456414848431,0.00470667376538669,-0.00387332012486782,0.00648853060281348,0.00641892967714563,-0.00565827559452928,-0.0103151805428739,-0.00343050326065196,0.000702023292630421,0.00117914342973612,0.00677676003008088,0.00261286633933288,0.000236326349754097,-0.00824526902787144,-0.00312725398028623,-0.00229078087103063,0.00120357772432726,-0.0021552824562181,0.00137990966662644,-0.00447955804664579,0.00194967931977836,-0.00311482688508497,-2.37044291916902e-06,0.000966431037394311,0.00244097622353287,0.0020732243218969,-0.00134230130039415,-0.00122177071605526,-0.00091203060548883,0.000159958494829251,6,"Day006",6,1
"Day007",-0.344150307218547,-0.205725961054213,-0.116222252856023,-0.0339835451038265,-0.0419800612332166,-0.0335950584483127,-0.0348499078128914,0.0557522277388386,-0.00349950189695883,-0.0193509838118046,-0.0352886529847768,-0.00804382528131544,-0.00664094084270136,0.00784602536350178,-0.00314278263700555,-0.000962010668030823,0.015564816063828,0.00598362088622703,-0.0130581725840714,0.0116590258317966,0.0158414046465057,-0.000396596644249098,-0.00432119852705692,0.00125234535717064,0.00486929451240589,-0.0121231152219336,-0.0117120990843361,-0.00316140289470362,-0.0063589370867458,-0.0093244919396432,0.000252399341321178,-0.00674080437729229,0.00773287940826713,0.00295491683254254,-0.00433334339513603,0.00142636375266363,-0.00215877091592371,-0.0021874050856732,-0.00610258225315292,-0.00396954028690421,0.00769013640224794,0.00104235773200562,0.00021942766033917,0.00285340851702498,0.00175660471229114,-0.00111891132751392,0.000229344458160509,0.00113242467999303,0.00167387270278001,-9.48714630578249e-05,-0.00188717868816075,-0.00040434964161689,-0.00159836235200761,-0.00180260248593094,0.000320410587890506,4.60634241808318e-05,-9.72138841812367e-05,7,"Day007",7,1
"Day008",-0.343080173454019,-0.210227581297783,-0.0953846635360459,-0.0487162324930129,-0.0756357679719877,-0.0213457240337089,-0.0385901474488625,0.0630758300052365,-0.0117190716949314,-0.0490949599241546,-0.0190256115444796,-0.00849812964008309,0.0180852972316095,0.00411071697266913,-0.0257906942544009,0.0124473935487528,-0.00857324436764653,0.00106325141631487,0.0212107961401719,-0.00258861494321968,0.00604656385092346,-0.0155740186127677,0.0125870306736189,0.00373019507542052,-0.00764761420903848,0.00792375174618802,0.00232837628604036,-0.00655158216556465,-0.00347486523689761,0.0139983930745733,0.00449968034460104,-0.00373469362165754,0.00183915904267739,0.000145579298834836,0.00292460049924771,0.001439635119623,-0.000253004968882872,0.000616497176192506,0.00605589272891332,0.00223915255497379,-0.00080111849365478,-0.000612208357726005,0.00248413271335172,-0.00342580916478752,0.00223297057954949,0.000634789412893552,-0.000804906515485752,-0.00126763635827117,-0.000520295319450622,0.00125029390565289,-0.0015324186700726,0.000213303501889583,-0.00100723163339421,0.00373791739216108,-0.000869540399605916,-0.000353020227282842,0.000284766167336417,8,"Day008",8,1
"Day009",-0.358266189571265,-0.182369995184153,-0.0729618987157007,-0.0581885019033523,-0.0588299472282697,0.00351342594338744,-0.00125089395999388,0.0202856096776626,-0.0200990667078013,-0.0156423944529363,-0.0104694072429897,0.00100534386606283,-0.0272708743544648,0.00262141656652528,-0.00153659050979191,-0.00802134839853617,-0.0102812787436452,0.00325429352621074,0.0224838391699438,-0.00773027323568572,-0.00381867091018119,0.0211045956138236,-0.00820362531951135,-0.00387591328282563,0.0059567567241423,-0.00664692510784001,0.0140408872164278,0.00743965322466558,0.0144661884712995,-0.000596037432555661,-0.0152461867665064,0.00429074005088802,-0.00746010858241857,0.00771248101622152,0.0113314846301016,-0.00055564930963617,0.00299558538688115,0.00204924099046471,-7.79486532512355e-05,0.00262747403840482,-0.00362815363362482,-0.00343360309789721,0.000632741990337953,0.00246985718952167,-0.00245406203674408,-0.000795131496573113,0.0053224278621711,-0.00114000995821973,-0.000688269169169042,-0.00122212092901426,0.00150076039364034,-0.00117728149980642,0.000825106537505311,-0.000429991423635362,0.00165210004089768,0.00173296630302707,-0.000195138866686522,9,"Day009",9,1
"Day010",-0.372772864227778,-0.123252464809692,-0.0577861329500086,-0.0572129376394454,-0.035556255983182,0.0203434548419387,-0.00641743875783136,-0.0270380209511795,-0.0380357333332971,0.0100706783188752,0.0049797002896793,0.0170110133738535,-0.0107976217924102,-0.027714162419559,-0.00241464342897458,-0.0201298532154103,-0.0102398022328483,-0.000730307100105453,-0.00428853228294024,-0.0141188684097539,-0.0071663537543493,0.00477216429045312,0.01183599431675,0.00568234409686993,0.0153304152685763,-0.00778404615627074,0.0173792107743098,-0.0175857773057912,0.00527757033349025,-0.0061583743812801,0.0037438298177661,-0.00965927557925334,0.00431266979462377,-0.0108317074900752,-0.00803542349222961,0.000565820960022227,-0.00201875388024135,-0.00696886832313797,0.00486654101837564,-0.00128693315248221,0.00260624836071986,-0.000134122258537357,-0.00191105285860923,-0.000933855723523989,-0.00165721098322399,0.00244686692632858,-0.00151670182694731,0.000849026554170469,-0.00167357720540181,0.000580236121233448,0.000862251660677345,0.000561237052124571,0.00264953628001321,0.000297712801564315,-0.000813735688498559,-0.0019304536073632,-0.000177830245825341,10,"Day010",10,1
"Day011",-0.382618971781947,-0.118909014058791,-0.0356195353424141,-0.0736480209262502,-0.0611815418528972,0.0330412544389547,-0.00521338512233533,-0.0321067447275022,-0.02669231853505,-0.0010574578091531,0.00198274831747791,0.00279264214801346,-0.00743795831754091,-0.00248651987384664,0.0090518616858556,0.0052843214580965,-0.01321597358374,-0.00975457232502461,-0.0120870938672138,-0.00564707197810971,-0.0155680730317891,-0.0161263726059125,0.00648921014547156,-0.00532863880496913,0.0138398492515051,0.016449581256722,-0.0107673909837748,-0.00291647337032139,-0.0099712990912081,-0.00203400904822724,-0.00138258397978305,0.00593857192239132,0.00790368130376917,-0.00401170766466929,0.00988003965039965,-0.00367582310098076,-0.00111476941016866,-0.00369547461552486,-0.000611910643083094,0.00203136623004824,-0.00666642517016136,-0.00132520125313338,-0.0113829860342011,0.00736204612403949,0.00231480440630279,-0.000992663810130771,0.000141736071000323,-0.00434723380600162,0.000201156569723764,-0.00167067424213664,0.00258748443454737,-0.00138205406435113,-0.00165278441999736,-0.00108411093794181,0.00043099408228109,0.000615862780185929,9.30507408865654e-05,11,"Day011",11,1
"Day012",-0.376991726906254,-0.143448590234785,-0.0412985244682089,-0.0730595539388224,-0.0697974005089633,0.0263899503205481,-0.00890275100099641,-0.0229884907333043,-0.033669780133063,-0.00769974828995531,0.002774735413812,-0.00881716578077651,-0.0205200780398064,-0.00255930243059622,0.0083486704854854,0.00578810637614227,0.00168334543605823,-0.00712020703023088,-0.01108809643541,-0.00593397284305762,0.00144844385909438,-0.0086525384761833,0.00166501023245491,0.00428989875126634,-0.022899230021416,-0.00742965647159192,-0.00557344740219306,0.0226826512796035,0.000618632717829526,0.00102332828626153,0.00566009286533342,-0.000302909078854285,-0.0109172129853446,0.00399533824038593,-0.00884832251434793,-0.00325262756944507,-0.00750643280411857,0.00191997915656548,-0.00498773857696306,0.00188080599936072,0.0050154810637325,0.00675988529935326,0.0023546137928333,-0.00712394318872752,-0.00251410141646356,0.000351447940595782,-0.00144064126525237,0.0016246464684338,0.00286416911724555,0.000900942757931484,0.00011147715267727,0.000160390439979965,-0.00195290154785177,-0.000755298050086497,0.00138400166623471,0.000545378778679794,0.000353182875175072,12,"Day012",12,1
